"participant_ID","gender","age","bothered_about_poor_IQ","student"
"22869a0e-7c8e-4fd3-b58e-e6d3bd7afe1d","male",19,"annoyed",TRUE
"262f092e-a9a5-44d7-affd-fbafc6fdaba7","male",19,"very annoyed",TRUE
"274b1a8c-cd67-483d-98a9-9737e39c025e","male",19,"annoyed",TRUE
"2b28175a-ca2b-46b1-9974-728c898944d5","male",19,"very annoyed",TRUE
"39d3041d-c32e-4123-ad31-2c1b00a50c28","male",19,"very annoyed",TRUE
"3adabf35-3c3e-431d-afbf-f565b6e239f3","female",20,"annoyed",TRUE
"434a0347-2210-42d3-9d42-f1810cd12093","male",19,"slightly annoyed",TRUE
"4bcfe7ea-15ee-42cf-820a-1a8854762012","male",20,"annoyed",TRUE
"5b5dc523-5fab-4363-99d3-d3b0eec81615","male",19,"very annoyed",TRUE
"5e862b48-8aa2-46f3-8698-094cd315ae9d","male",19,"very annoyed",TRUE
"64955322-d376-4ea4-a2b6-115de1e437d2","male",19,"very annoyed",TRUE
"64a5ce0e-4d2a-4858-b120-2d2f976ebeef","male",19,"not annoyed",TRUE
"6b8a5614-a63b-4c45-b145-2438ba74362a","male",21,"annoyed",TRUE
"6d1730b4-ee7d-4a7a-a869-a4b37a3dce9b","male",19,"annoyed",TRUE
"72439b61-4a9c-4f2c-b12c-79d05586522c","male",20,"I can't say",FALSE
"769463e9-e5bd-442a-b6c3-4f33b1f98c08","male",19,"annoyed",TRUE
"7a2e8d9c-9d10-4964-ae95-dbf54a2ff803","male",19,"annoyed",TRUE
"7b5d299b-096d-45ac-b01a-b154b9569517","female",19,"annoyed",TRUE
"7ce6d6b5-9b3e-40e4-9daf-54b2af7480e6","male",19,"very annoyed",TRUE
"88445d1d-f313-4bac-a256-73c6f32cf9ac","male",19,"annoyed",TRUE
"889370ad-a8d2-4f39-acbd-810b0d6c0296","male",19,"very annoyed",TRUE
"8fbc68ea-478a-4efe-8ccf-229393f86cd5","male",20,"annoyed",TRUE
"92a80b40-8a17-478f-a76d-4a3f377cc44f","male",19,"annoyed",TRUE
"92eb0519-ba39-4a3d-b59f-29942b1a91f3","male",19,"very annoyed",TRUE
"98a27903-9e9c-4bf8-a5de-ba13dde8d4cd","male",20,"slightly annoyed",TRUE
"9e583409-0399-4b9a-9822-8b0aa45767c1","female",20,"very annoyed",TRUE
"a0c7387a-04f9-4df9-980e-79b138dd8047","male",19,"very annoyed",TRUE
"a21378f1-bc99-4686-adf4-b8c35a10544c","male",19,"slightly annoyed",TRUE
"a2e437e6-322f-4cdd-83b7-ef9c6ae9ea34","male",20,"I can't say",TRUE
"a67c78ff-ab0b-44bd-834c-c3b2d4030181","male",19,"annoyed",TRUE
"abcd8e3d-3523-4094-9b44-d2cc5e55f1d1","male",20,"annoyed",TRUE
"b4fc0445-e7e7-4f65-ac57-62bb9ede9e62","male",20,"slightly annoyed",TRUE
"bf9295ff-bc97-4f6f-9803-387ce58690eb","male",20,"annoyed",TRUE
"c010cf83-bfdf-45b2-86d9-d37e394ce589","male",20,"very annoyed",TRUE
"c2577514-8a21-40d7-8cb6-e775bf66ecbe","male",19,"very annoyed",TRUE
"c2ca4a2d-90d4-4a89-9e33-d5a2b08e6bf9","male",19,"annoyed",FALSE
"c5c73abe-254b-4250-8761-9e97c8b0bf96","male",20,"very annoyed",TRUE
"ca5c67ff-2844-4616-97d4-7a3eecd0a38a","male",19,"very annoyed",TRUE
"cbc22941-8538-4e3c-ae22-bdedcde379e6","male",19,"annoyed",TRUE
"cbed1705-482a-47a1-b722-0abbd8568400","male",20,"very annoyed",TRUE
"cf03f4d6-882e-48e2-91ce-84f201722e18","male",19,"slightly annoyed",TRUE
"d128782d-5ff0-4e41-8f45-e48504c9ed3c","male",19,"annoyed",TRUE
"d247ce12-a99e-4b0c-a048-8460542ff521","male",19,"annoyed",TRUE
"d3728002-3253-43f1-acaf-9857adc5fdea","male",20,"annoyed",TRUE
"d5aa612a-a4bc-4893-9110-20dc01c18393","male",19,"I can't say",TRUE
"d604853c-c411-488d-a6c3-04a8bbc6ce34","male",19,"slightly annoyed",TRUE
"dbb9bbb0-681a-4452-885d-d98a20e41ec1","male",18,"annoyed",FALSE
"e2088b9b-81f7-4c24-9a43-6c7b8b21af96","female",20,"annoyed",TRUE
"f15d765b-fd8f-4650-93f4-4ca8dcf9d578","male",20,"very annoyed",TRUE
"f530590a-0988-4dde-8ca1-05ab8d9bf57c","male",19,"annoyed",TRUE
"fa0e0897-83c1-45c8-a4ae-874bedc007ea","male",19,"very annoyed",TRUE
"fa932219-84e1-4a94-8cf8-c047b48aa548","male",19,"annoyed",TRUE
"fbcdaad5-2130-47fb-a799-ceba2ae45450","male",19,"very annoyed",TRUE
"0ad239e6-a959-4e82-92a5-981778b9d719","male",20,"annoyed",TRUE
"deb2cb55-e845-4d56-afb3-b95a2d7dc5ed","female",18,"annoyed",FALSE
"60b720ba-85fa-4286-a82d-9fbb8a11e5b0","female",24,"annoyed",FALSE
"b0c0f5b2-ca12-4258-9d35-f15a4496272a","male",20,"very annoyed",TRUE
"6cb8bbca-0e22-4355-a8a3-211c42d8df25","male",20,"very annoyed",TRUE
"d2e4bce3-44d7-46c9-ac67-c4aa2ba81c97","male",19,"very annoyed",TRUE
"dd21866c-c921-46b1-b7b2-3b07d2a57e17","male",19,"slightly annoyed",TRUE
"373d6156-b176-44d8-97bb-2ab9d15b0046","male",22,"I can't say",FALSE
"6c8b412a-ef19-4cd3-a67d-8a5847cacfb0","female",19,"very annoyed",TRUE
"7ca91fa8-12ec-4aeb-b8e1-3d6914684ec2","male",24,"annoyed",FALSE
"e8a5f8e3-01cd-4585-abe1-c980a1cf4613","male",20,"annoyed",TRUE
"55468a38-a254-464e-9296-c1663ea1a02d","male",19,"slightly annoyed",TRUE
"9d8f7433-5397-4b8b-b25d-a03b20309a15","female",22,"very annoyed",FALSE
